id,club_name
618,Addiscombe CC
15509,Ahmadiyya Muslim Youth CC
672,Alleyn CC
777,Ashford CC
789,Ashtead CC
885,Bagshot CC
10365,Balham & Tooting Sports & Social Club
906,Banstead CC
990,Battersea Ironsides CC
1025,Beddington CC
1224,Blindley Heath CC
22926,Blue Wings CC
9319,Brentford CC
7861,Burgess Park CC
13908,Bushy Park Girls CC
1593,Byfleet CC
1615,Camberley CC
1643,Capel CC
1698,Caterham CC
1740,Chaldon CMO CC
1778,Cheam CC
1804,Chertsey CC
1809,Chessington CC
1823,Chiddingfold CC
8150,Chipstead Coulsdon and Walcountians CC
6479,Chiswick CC
1850,Chobham CC
1905,Claygate CC
844,Cobham Avorians CC
2101,Cranleigh CC
11451,Croydon CC
10354,Croydon Lions CC
2332,Dorking CC
2384,Dulwich CC
2465,East Molesey CC
2530,Effingham CC
2535,Egham CC
2584,Englefield Green CC
11089,Epic CC
2591,Epsom CC
122,Esher CC
2248,Ewell CC
2684,Farnham CC
22947,Frimley Phoenix CC
2924,Godalming CC
3073,Guildford CC
11100,Guildford City Cricket Youth Project
8004,Ham and Petersham CC
3137,Hampton Hill CC
3139,Hampton Wick Royal CC
4800,Headley Old Freemens CC
3465,Hook and Southborough CC
3477,Horley CC
3497,Horsley & Send CC
27109,KannadigaruUK CC
9092,Kempton CC
12466,Kenley CC
3760,Kingstonian CC
3884,Leatherhead CC
3952,Limpsfield Chart CC
10985,London Gymkhana CC
4069,London Welsh CC
4074,Long Ditton CC
4180,Malden Wanderers CC
12059,Manipay Parish Sports Club CC
4203,Maori Oxshott CC
30499,Mavericks CC
4302,Merrow CC
4305,Merstham CC
4306,Merton CC
29260,Merton Mavericks
4384,Mitcham CC
4416,Morden CC
4566,Newdigate CC
4615,Normandy CC
8774,Norwood CC
4810,Old Hamptonians CC
4833,Old Pauline CC
4842,Old Rutlishians CC
4854,Old Tiffinians CC
4867,Old Whitgiftians CC
4871,Old Wimbledonians CC
4872,Old Woking CC
4913,Ottershaw CC
23409,Outlaws 2.0 CC
4923,Outwood CC
28896,Overton Park CC
4949,Oxted and Limpsfield CC
5080,Pirbright CC
8087,Ploughmans CC
5202,Purley CC
5206,Putney CC
5211,Pyrford CC
5278,Raynes Park Former Pupils CC
26738,Redhill Warriors Sports Club
5303,Reigate Priory CC
5315,Richmond CC
127,Ripley CC
5375,Roehampton CC
5485,Salfords CC
5501,Sanderstead CC
5612,Sheen Park CC
7605,Shepperton CC
23481,Shield SC
6722,SinjunGrammarians CC
27207,South London CC
5791,South Nutfield CC
16090,Southwark Park CC
194,Spelthorne Sports CC
5853,Spencer CC
5930,St Luke's CC
5981,Staines & Laleham CC
6069,Stoke D'Abernon CC
7785,Streatham & Marlborough CC
6150,Sunbury CC
28795,Surrey Titans CC
19406,Surrey Warriors CC
6169,Sutton CC
11802,Sutton Challengers CC
6221,Tadworth CC
13115,Team Mitcham CC
6248,Teddington Town CC
6279,Thames Ditton CC
6380,Tilford CC
4822,Trinity Mid-Whitgiftian CC
6483,Twickenham CC
6574,Valley End CC
6621,Wallington CC
6638,Walton on Thames CC
6646,Wandgas CC
6666,Warlingham CC
6766,West End (Esher) CC
19,West Wimbledon CC
6839,Weybridge CC
4882,Weybridge Vandals CC
6878,Whiteley Village CC
6953,Wimbledon CC
8024,Wimbledon Corinthians CC
7016,Woking & Horsell CC
7069,Woodmansterne CC
7097,Worcester Park CC
